Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
71	-46.277863	1.2939541	-45.049477	-48.454678	-4.633437	0.05406086	-4.5786633	-4.724321	1000.0	1000.0	283999	44.874744	13.384783	54.032764	-118.99739	44.874874	13.38437	54.368034	-114.45081	-2.5274994	1.020332	28.628077	-9.74585	-45.413174	0.7557347	4913.667523860931
72	-47.564304	3.5782692	-42.903957	-52.87249	-4.239606	1.5354124	-2.58588	-6.9704175	1000.0	1000.0	287999	45.013454	12.812909	54.374847	-120.64534	45.01359	12.812309	54.425655	-115.83682	-2.535124	0.97659516	22.423223	-9.290707	-45.550148	0.64276785	4999.944876432419
73	-47.79499	1.1346934	-46.24433	-49.217167	-3.7155635	2.080961	-1.4575411	-6.3293076	1000.0	1000.0	291999	45.05814	12.998843	56.81254	-118.56714	45.058224	12.998973	55.368362	-112.97595	-2.534509	0.9799406	18.241522	-9.08965	-45.592255	0.55251366	5086.421271562576
74	-47.37231	2.1940434	-44.641926	-50.73451	-5.1108513	0.06966726	-4.994174	-5.192637	1000.0	1000.0	295999	45.054974	13.454375	56.836838	-115.90791	45.055	13.454113	55.47306	-116.45017	-2.542439	0.9555783	24.744259	-9.566613	-45.590492	0.65777826	5173.558441877365
75	-47.31389	0.9637217	-46.425076	-48.918766	-6.768466	0.23989774	-6.263446	-6.9401817	1000.0	1000.0	299999	45.185936	13.134277	59.76049	-116.62975	45.18609	13.133616	58.020065	-115.78955	-2.5433166	0.9719247	20.893436	-10.227762	-45.72675	0.5921067	5264.955553770065
76	-49.222256	1.8672494	-46.38774	-51.634758	-6.5437965	0.046367597	-6.4860964	-6.6140265	1000.0	1000.0	303999	45.222614	13.136789	63.767555	-115.13078	45.22275	13.136091	61.983543	-109.649414	-2.543168	1.0038502	27.93369	-9.869345	-45.76426	0.65785766	5353.788065195084
77	-45.817993	2.225462	-42.96702	-48.991917	-6.1604757	0.15102068	-5.90203	-6.369394	1000.0	1000.0	307999	45.30673	12.794925	63.393906	-156.6733	45.30668	12.794169	63.632156	-144.63742	-2.5444593	0.9704724	21.804886	-11.788228	-45.845734	0.59231275	5443.741257429123
78	-46.807354	2.6576262	-44.046898	-50.202736	-5.1894455	0.50632524	-4.0670347	-5.6297445	1000.0	1000.0	311999	45.34498	12.695319	61.851337	-146.24745	45.34494	12.694923	60.113556	-151.30678	-2.5486212	0.96087223	17.53781	-9.105074	-45.8826	0.5893601	5534.709072828293
79	-47.528236	1.2618821	-46.193344	-49.59684	-5.214235	0.033708345	-5.153584	-5.2824726	1000.0	1000.0	315999	45.427715	12.505496	63.76113	-125.06859	45.4279	12.505464	62.42575	-121.21999	-2.5543714	0.9483305	23.437208	-9.850172	-45.96408	0.531636	5626.755685806274
80	-44.74613	4.9393106	-37.92412	-51.205685	-5.779792	0.24866623	-5.5447083	-6.264627	1000.0	1000.0	319999	45.35066	13.056972	64.103325	-115.11095	45.35084	13.056042	64.5941	-113.6044	-2.5507736	0.9678666	20.587406	-9.573124	-45.884834	0.53223306	5717.830657243729
81	-47.054287	2.5727727	-44.54867	-50.803318	-6.9808397	0.11166584	-6.7344403	-7.150516	1000.0	1000.0	323999	45.370396	12.987158	64.27469	-119.695366	45.37052	12.986395	65.31199	-127.10016	-2.552762	0.9493953	24.831593	-8.744337	-45.90294	0.5978297	5811.034342765808
82	-45.957787	2.3578238	-42.494827	-48.63509	-6.497696	0.12667748	-6.328034	-6.712918	1000.0	1000.0	327999	45.40442	12.92098	68.39008	-114.66693	45.40456	12.920341	66.85783	-112.618835	-2.5606487	0.93522483	21.285557	-10.422984	-45.938316	0.6433215	5910.961182594299
83	-47.66036	1.5917728	-46.10943	-50.265915	-6.177331	0.08667567	-6.078966	-6.4109826	1000.0	1000.0	331999	45.40858	12.908923	69.92429	-125.379776	45.4085	12.909138	68.87094	-118.5771	-2.5596485	0.9517339	23.273865	-9.728883	-45.942585	0.5906916	6009.64267706871
84	-46.675724	1.0938963	-44.831047	-47.668972	-5.2771807	0.081653595	-5.067383	-5.3461986	1000.0	1000.0	335999	45.47063	12.814049	74.46613	-124.84999	45.47066	12.814021	73.497795	-123.76184	-2.5565841	0.9572923	24.101574	-8.557477	-46.007633	0.64299726	6107.231741428375
85	-48.30155	1.3835484	-46.991337	-50.550804	-5.72354	0.017464425	-5.6903076	-5.7497873	1000.0	1000.0	339999	45.53391	12.579854	77.42254	-118.9821	45.53387	12.579636	78.99015	-115.11704	-2.5607584	0.9276878	23.4247	-8.613429	-46.06737	0.64699733	6203.937922954559
